序号,课程编码,课程名称,课程属性,所属学科/专业,课时/学分,开课周,星期节次,教室,授课方式,考试方式
288.0,081M1005H,资源经济学,一级学科核心课,地理学,50/3.0,第2-19周,周三(5-7),教2-329,课堂讲授为主,闭卷笔试
298.0,081M2007H-1,地理信息系统应用实践-1,一级学科普及课,地理学,30/1.5,第7-20周,周一(3-4),学3-257(机房),讲课、上机,读书报告
298.0,081M2007H-1,地理信息系统应用实践-1,一级学科普及课,地理学,30/1.5,第7-20周,周三(3-4),学3-257(机房),讲课、上机,读书报告
299.0,081M2007H-2,地理信息系统应用实践-2,一级学科普及课,地理学,30/1.5,第7-20周,周一(3-4),学3-281(机房),讲课、上机,读书报告
299.0,081M2007H-2,地理信息系统应用实践-2,一级学科普及课,地理学,30/1.5,第7-20周,周三(3-4),学3-281(机房),讲课、上机,读书报告
301.0,081M4008H,空间分析,专业核心课,,60/4.0,第2-18周,周五(1-3),教2-101,课堂讲授为主,课堂开卷
302.0,081M5005H,Python空间数据处理,专业普及课,地图学与地理信息系统,54/3.0,第2-20周,周一(9-11),学3-257(机房),课堂讲授为主,读书报告
303.0,081M5009H,全球导航卫星系统原理与应用,专业普及课,地图学与地理信息系统,51/3.0,第3-13周,周三(5-7),教2-118,课堂讲授为主,课堂开卷
318.0,082M2008H,环境规划与管理,一级学科普及课,生态学,40/2.0,第2-15周,周三(5-7),教2-323,课堂讲授为主,课堂开卷
321.0,082M2014H-1,R语言及其在生态学中的应用-1,一级学科普及课,生态学,40/2.0,第2-15周,周一(9-11),学2-114,课堂讲授为主,大开卷
325.0,082M3004H,高原生态系统生态学,一级学科研讨课,生态学,21/1.0,第2-9周,周三(5-7),教2-123,课堂讲授为主,读书报告
331.0,083M2001H,大气污染监测技术,一级学科普及课,环境科学与工程,40/2.0,第2-12周,周五(3-4),教2-334,课堂讲授为主,课堂开卷
337.0,083M5002H,纳米毒理学,专业普及课,环境科学,40/2.0,第2-12周,周一(3-4),教2-229,课堂讲授为主,闭卷笔试
337.0,083M5002H,纳米毒理学,专业普及课,环境科学,40/2.0,第2-12周,周三(3-4),教2-229,课堂讲授为主,闭卷笔试
338.0,083M5006H-1,环境微生物实验-1,实验课,,40/1.5,第6-11周,周六(1-8),学4-341（环境微生物实验室）,讲课、实验,其它（需说明）
339.0,083M5006H-2,环境微生物实验-2,实验课,,40/1.5,第6-11周,周日(1-8),学4-341（环境微生物实验室）,讲课、实验,其它（需说明）
341.0,083M5008H,环境纳米科学与技术,专业普及课,环境科学,50/3.0,第2-15周,周五(1-2),教2-229,课堂讲授为主,课堂开卷
342.0,083M5009H,环境影响评价,专业普及课,环境科学,40/2.0,第3-13周,周三(5-6),教2-319,课堂讲授为主,课堂开卷
343.0,083M5013H,高级废水生物处理工程,专业普及课,环境工程,40/2.0,第2-12周,周一(3-4),教2-125,课堂讲授为主,课堂开卷
343.0,083M5013H,高级废水生物处理工程,专业普及课,环境工程,40/2.0,第2-12周,周三(3-4),教2-125,课堂讲授为主,课堂开卷
345.0,083M5015H,工业废气控制过程、材料与技术,专业普及课,环境工程,60/3.0,第2-17周,周五(3-4),教2-229,课堂讲授为主,课堂开卷
349.0,083M5023H-1,环境数据的统计学分析方法-1,专业普及课,环境科学,60/4.0,第2-17周,周一(3-4),教1-209,课堂讲授为主,课堂开卷
349.0,083M5023H-1,环境数据的统计学分析方法-1,专业普及课,环境科学,60/4.0,第2-17周,周三(3-4),教1-209,课堂讲授为主,课堂开卷
355.0,091M4001H,计算机体系结构,专业核心课,计算机系统结构,60/3.0,第2-20周,周一(9-11),教1-107,课堂讲授为主,闭卷笔试
357.0,091M4021H-2,高级软件工程,一级学科核心课,"计算机软件与理论
软件工程",60/3.0,第2-17周,周一(3-4),教1-207,授课、讨论,闭卷笔试
357.0,091M4021H-2,高级软件工程,一级学科核心课,"计算机软件与理论
软件工程",60/3.0,第2-17周,周三(3-4),教1-207,授课、讨论,闭卷笔试
358.0,091M4023H,数理逻辑与程序理论,专业核心课,计算机软件与理论,60/3.0,第2-20周,周三(5-7),教1-108,课堂讲授为主,闭卷笔试
359.0,091M4041H,计算机算法设计与分析,专业核心课,计算机应用技术,60/3.0,第2-20周,周五(2-4),教1-101,课堂讲授为主,闭卷笔试
373.0,091M5041H,人机交互,专业普及课,计算机应用技术,40/2.0,第2-16周,周三(5-7),教1-114,课堂讲授为主,课堂开卷
375.0,091M5047H,现代信息检索,专业普及课,计算机应用技术,40/2.0,第2-13周,周一(3-4),教1-107,课堂讲授为主,课堂开卷
375.0,091M5047H,现代信息检索,专业普及课,计算机应用技术,40/2.0,第2-13周,周三(3-4),教1-107,课堂讲授为主,课堂开卷
385.0,101M1002H,随机过程（电子与通信类）,一级学科核心课,信息与通信工程,60/4.0,第2-18周,周三(5-6),教1-207,课堂讲授为主,闭卷笔试
387.0,101M1004H,信息论,一级学科核心课,信号与信息处理,60/4.0,第2-18周,周一(3-4),教1-108,课堂讲授为主,闭卷笔试
387.0,101M1004H,信息论,一级学科核心课,信号与信息处理,60/4.0,第2-18周,周三(3-4),教1-108,课堂讲授为主,闭卷笔试
388.0,101M4001H,现代雷达系统,专业核心课,通信与信息系统,80/5.0,第2-17周,周五(9-11),教1-209,课堂讲授为主,课堂开卷
389.0,101M4002H,高级通信原理I,专业核心课,通信与信息系统,50/3.0,第2-17周,周三(5-7),学2-304,课堂讲授为主,闭卷笔试
399.0,101M6001H,电声原理与应用,专业研讨课,通信与信息系统,20/1.0,第11-18周,周一(9-11),教1-417,课堂讲授为主,读书报告
401.0,101M6004H,微波遥感概论,专业研讨课,信号与信息处理,20/1.0,第2-10周,周六(1-3),教1-125,课堂讲授为主,读书报告
406.0,102M4001H,微波电子学,专业核心课,物理电子学,60/4.0,第2-20周,周五(9-11),教1-223,课堂讲授为主,闭卷笔试
411.0,102M4006H-1,半导体工艺与制造技术,专业核心课,电路与系统,53/3.0,第2-20周,周五(9-11),教1-109,课堂讲授为主,课堂开卷
413.0,102M4007H-1,微机电系统基础,专业核心课,电路与系统,50/3.0,第2-20周,周三(5-7),教1-115,课堂讲授为主,课堂开卷
415.0,102M4007H-3,微机电系统基础,专业核心课,电路与系统,50/3.0,第2-20周,周一(9-11),教1-223,课堂讲授为主,闭卷笔试
418.0,102M5004H,最优化方法,专业普及课,电子科学与技术,40/2.5,第2-17周,周三(5-7),教1-304,课堂讲授为主,闭卷笔试
423.0,102M6010H,飞秒激光技术应用,专业研讨课,物理电子学,20/1.0,第2-11周,周三(3-4),教1-208,课堂讲授为主,课堂开卷
424.0,102M6011H,太阳能光伏技术与应用,专业研讨课,物理电子学,30/2.0,第2-9周,周一(3-4),教1-115,授课、讨论,文献综述
424.0,102M6011H,太阳能光伏技术与应用,专业研讨课,物理电子学,30/2.0,第2-9周,周五(3-4),教1-115,授课、讨论,文献综述
425.0,103M1003H,数学物理方法（电子与通信类）,一级学科核心课,电子科学与技术,60/4.0,第2-19周,周五(1-2),教1-406,课堂讲授为主,闭卷笔试
429.0,103M5001H,气体放电与低温等离子体,专业普及课,高电压与绝缘技术,30/2.0,第6-18周,周三(5-7),教1-315,课堂讲授为主,课堂开卷
430.0,103M6003H,超导精密测量技术及误差理论,专业研讨课,高电压与绝缘技术,20/1.0,第10-17周,周日(1-3),教1-123,课堂讲授为主,读书报告
431.0,111M4002H,连续介质力学（流体）,专业核心课,,60/3.0,第2-21周,周三(5-7),教1-309,课堂讲授为主,闭卷笔试
434.0,111M4006H,有限元方法,专业核心课,,60/3.0,第2-16周,周五(1-2),教1-207,课堂讲授为主,闭卷笔试
435.0,111M4007H,材料物理基础,专业核心课,,50/2.5,第2-18周,周三(5-7),教1-424,课堂讲授为主,课堂开卷
441.0,111M4027H,高等岩石力学,专业核心课,,40/2.0,第6-13周,周五(9-11),教1-225,课堂讲授为主,闭卷笔试
441.0,111M4027H,高等岩石力学,专业核心课,,40/2.0,第6-13周,周六(1-2),教1-225,课堂讲授为主,闭卷笔试
